dataset,column
ACAPS,ID
ACAPS,ISO
ACAPS,COUNTRY
ACAPS,REGION
ACAPS,ADMIN_LEVEL_NAME
ACAPS,PCODE
ACAPS,LOG_TYPE
ACAPS,CATEGORY
ACAPS,MEASURE
ACAPS,TARGETED_POP_GROUP
ACAPS,COMMENTS
ACAPS,NON_COMPLIANCE
ACAPS,DATE_IMPLEMENTED
ACAPS,SOURCE
ACAPS,SOURCE_TYPE
ACAPS,LINK
ACAPS,ENTRY_DATE
ACAPS,Alternative source
