column,value,dataset
LOG_TYPE,Introduction / extension of measures,ACAPS
LOG_TYPE,Phase-out measure,ACAPS
TARGETED_POP_GROUP,NA,ACAPS
TARGETED_POP_GROUP,checked,ACAPS
